customer_name,revenue,profit,orders
Nisha Kumar,44583.380000000005,19059.42,62
Ananya Singh,40266.64,17689.56,60
Dev Das,37548.56,16953.27,53
Rahul Reddy,37159.98,16203.119999999999,68
Rohan Das,36792.42,16146.12,52
Vikram Bose,36518.99,16449.32,53
Nisha Singh,36379.45,15273.03,60
Anjali Gupta,35541.56,14600.74,70
Nisha Sharma,35141.48,15103.84,58
Sneha Rao,33950.22,13717.47,46
Vikram Das,31674.8,14372.78,45
Meera Gupta,30733.63,14227.57,51
Karan Gupta,30254.71,13007.64,50
Siddharth Verma,29730.75,13041.98,45
Rohan Mehta,28485.31,12578.289999999999,34
