customer_id,customer_name,region,customer_segment
C0001,Rohan Malhotra,East,Enterprise
C0002,Riya Sharma,South,Individual
C0003,Priya Das,East,SMB
C0004,Anjali Bose,Central,Individual
C0005,Priya Nair,Central,Individual
C0006,Ananya Reddy,North,Enterprise
C0007,Arjun Das,South,SMB
C0008,Priya Reddy,West,SMB
C0009,Meera Malhotra,East,Enterprise
C0010,Siddharth Bose,North,Individual
C0011,Nisha Sharma,North,Enterprise
C0012,Karan Gupta,West,Individual
C0013,Aarav Iyer,North,SMB
C0014,Arjun Malhotra,Central,Individual
C0015,Priya Sharma,North,SMB
C0016,Nisha Kumar,West,Individual
C0017,Karan Gupta,East,Enterprise
C0018,Riya Gupta,West,Individual
C0019,Siddharth Das,East,SMB
C0020,Siddharth Nair,North,Enterprise
C0021,Siddharth Chopra,East,SMB
C0022,Ananya Singh,Central,SMB
C0023,Dev Reddy,West,SMB
C0024,Ananya Mehta,South,Enterprise
C0025,Priya Nair,West,Individual
C0026,Anjali Malhotra,West,Enterprise
C0027,Riya Das,East,Individual
C0028,Meera Rao,South,Enterprise
C0029,Arjun Iyer,South,Individual
C0030,Arjun Gupta,North,SMB
C0031,Arjun Das,North,Enterprise
C0032,Meera Verma,Central,SMB
C0033,Ananya Verma,West,SMB
C0034,Aarav Nair,Central,SMB
C0035,Priya Gupta,South,SMB
C0036,Aarav Iyer,East,SMB
C0037,Anjali Mehta,South,Individual
C0038,Rahul Das,North,SMB
C0039,Ananya Joshi,North,Individual
C0040,Karan Verma,North,Individual
C0041,Nisha Kumar,East,Individual
C0042,Karan Reddy,North,Individual
C0043,Meera Iyer,North,Enterprise
C0044,Sneha Malhotra,West,Enterprise
C0045,Rahul Reddy,North,Individual
C0046,Sneha Rao,West,SMB
C0047,Priya Verma,North,SMB
C0048,Arjun Patel,Central,Individual
C0049,Rahul Mehta,West,Individual
C0050,Arjun Singh,East,SMB
C0051,Ananya Das,Central,Individual
C0052,Karan Mehta,South,SMB
C0053,Ananya Chopra,Central,Individual
C0054,Nisha Sharma,East,Enterprise
C0055,Nisha Singh,Central,Individual
C0056,Rahul Chopra,North,Individual
C0057,Dev Patel,North,SMB
C0058,Anjali Gupta,West,SMB
C0059,Aarav Singh,North,SMB
C0060,Sneha Verma,East,Individual
C0061,Aarav Chopra,East,Enterprise
C0062,Rahul Joshi,South,SMB
C0063,Anjali Joshi,South,Individual
C0064,Karan Iyer,West,SMB
C0065,Meera Reddy,East,Enterprise
C0066,Dev Chopra,South,Enterprise
C0067,Aarav Chopra,North,Individual
C0068,Dev Das,Central,SMB
C0069,Arjun Kumar,Central,SMB
C0070,Vikram Reddy,Central,Individual
C0071,Siddharth Bose,South,Individual
C0072,Ananya Gupta,North,Individual
C0073,Siddharth Joshi,West,Individual
C0074,Nisha Patel,East,Individual
C0075,Priya Reddy,East,Individual
C0076,Aarav Verma,West,Individual
C0077,Ananya Mehta,South,Individual
C0078,Rahul Patel,Central,Individual
C0079,Pooja Mehta,East,Individual
C0080,Aarav Verma,West,Individual
C0081,Meera Gupta,South,SMB
C0082,Priya Chopra,East,Enterprise
C0083,Arjun Nair,East,SMB
C0084,Pooja Nair,North,Enterprise
C0085,Anjali Reddy,South,Enterprise
C0086,Aarav Verma,West,SMB
C0087,Vikram Mehta,North,Enterprise
C0088,Sneha Das,East,Individual
C0089,Sneha Chopra,Central,SMB
C0090,Riya Gupta,West,SMB
C0091,Meera Nair,North,Enterprise
C0092,Vikram Das,West,Individual
C0093,Vikram Sharma,North,Enterprise
C0094,Priya Chopra,East,Individual
C0095,Nisha Bose,South,Individual
C0096,Rohan Chopra,East,Individual
C0097,Rohan Gupta,North,SMB
C0098,Vikram Joshi,North,Enterprise
C0099,Vikram Reddy,North,Individual
C0100,Sneha Kumar,East,Enterprise
C0101,Ananya Kumar,East,Enterprise
C0102,Riya Kumar,South,Individual
C0103,Vikram Singh,North,SMB
C0104,Pooja Gupta,East,Individual
C0105,Vikram Bose,North,Enterprise
C0106,Rohan Patel,North,Individual
C0107,Karan Singh,East,SMB
C0108,Meera Sharma,East,SMB
C0109,Vikram Malhotra,South,Individual
C0110,Pooja Iyer,North,Enterprise
C0111,Siddharth Das,North,Enterprise
C0112,Rahul Mehta,North,SMB
C0113,Pooja Nair,North,Individual
C0114,Arjun Mehta,North,Individual
C0115,Dev Iyer,Central,Individual
C0116,Vikram Bose,South,Enterprise
C0117,Arjun Verma,West,Individual
C0118,Ananya Singh,South,Individual
C0119,Nisha Mehta,Central,Individual
C0120,Aarav Mehta,West,Individual
C0121,Arjun Das,Central,SMB
C0122,Ananya Rao,South,Individual
C0123,Aarav Singh,North,Individual
C0124,Meera Rao,South,Individual
C0125,Ananya Singh,East,Individual
C0126,Vikram Kumar,South,SMB
C0127,Karan Kumar,West,Individual
C0128,Arjun Mehta,North,SMB
C0129,Rohan Das,East,SMB
C0130,Rohan Bose,South,Enterprise
C0131,Meera Rao,West,Individual
C0132,Dev Joshi,North,Individual
C0133,Pooja Rao,West,Individual
C0134,Vikram Bose,North,Individual
C0135,Ananya Bose,South,Individual
