order_id,order_date,customer_id,product_id,quantity,discount,channel,revenue,cost,profit,product_name,category,unit_cost,unit_price,customer_name,region,customer_segment,profit_margin_pct,avg_order_value,year,month,month_name,year_month
ORD04762,2022-01-01,C0420,P020,1,0.2,Online,404.9,276.85,128.05,Juice,Food & Bev,276.85,506.13,Aarav Verma,East,Individual,31.63,404.9,2022,1,Jan,2022-01
ORD03038,2022-01-01,C0180,P003,1,0.1,Wholesale,94.83,70.85,23.98,Tablet,Electronics,70.85,105.37,Nisha Sharma,East,SMB,25.29,94.83,2022,1,Jan,2022-01
ORD04885,2022-01-01,C0467,P001,1,0.0,Retail,380.94,156.07,224.87,Laptop,Electronics,156.07,380.94,Pooja Malhotra,West,Individual,59.03,380.94,2022,1,Jan,2022-01
ORD01653,2022-01-01,C0496,P013,3,0.05,Retail,1200.53,563.61,636.92,T-Shirt,Clothing,187.87,421.24,Ananya Kumar,South,SMB,53.05,400.1766666666667,2022,1,Jan,2022-01
ORD00409,2022-01-02,C0263,P019,2,0.1,Wholesale,328.57,257.6,70.97,Tea Pack,Food & Bev,128.8,182.54,Priya Mehta,South,Individual,21.6,164.285,2022,1,Jan,2022-01
ORD00880,2022-01-02,C0206,P002,2,0.0,Retail,1192.78,590.96,601.82,Smartphone,Electronics,295.48,596.39,Rahul Nair,South,SMB,50.46,596.39,2022,1,Jan,2022-01
ORD00247,2022-01-02,C0449,P009,2,0.1,Online,446.87,257.3,189.57,Sofa,Furniture,128.65,248.26,Vikram Kumar,South,Individual,42.42,223.435,2022,1,Jan,2022-01
ORD03588,2022-01-02,C0272,P012,1,0.0,Retail,215.61,123.94,91.67,Sneakers,Clothing,123.94,215.61,Rahul Das,North,Enterprise,42.52,215.61,2022,1,Jan,2022-01
ORD04632,2022-01-02,C0022,P018,3,0.0,Retail,2632.83,1159.8,1473.03,Protein Bar,Food & Bev,386.6,877.61,Ananya Singh,Central,SMB,55.95,877.61,2022,1,Jan,2022-01
ORD00476,2022-01-02,C0354,P007,1,0.0,Online,520.32,334.65,185.67,Standing Desk,Furniture,334.65,520.32,Anjali Kumar,North,Individual,35.68,520.32,2022,1,Jan,2022-01
ORD04122,2022-01-02,C0289,P017,1,0.05,Online,81.95,35.37,46.58,Energy Drink,Food & Bev,35.37,86.26,Meera Patel,Central,Individual,56.84,81.95,2022,1,Jan,2022-01
ORD04610,2022-01-02,C0335,P004,3,0.05,Online,217.68,97.95,119.73,Headphones,Electronics,32.65,76.38,Arjun Bose,East,Individual,55.0,72.56,2022,1,Jan,2022-01
ORD02987,2022-01-03,C0349,P013,2,0.05,Online,800.36,375.74,424.62,T-Shirt,Clothing,187.87,421.24,Riya Verma,East,Individual,53.05,400.18,2022,1,Jan,2022-01
ORD03180,2022-01-03,C0140,P006,1,0.15,Wholesale,37.76,18.03,19.73,Office Chair,Furniture,18.03,44.42,Meera Das,North,Enterprise,52.25,37.76,2022,1,Jan,2022-01
ORD02068,2022-01-03,C0338,P013,1,0.1,Retail,379.12,187.87,191.25,T-Shirt,Clothing,187.87,421.24,Dev Patel,Central,Individual,50.45,379.12,2022,1,Jan,2022-01
ORD03061,2022-01-03,C0212,P006,2,0.0,Online,88.84,36.06,52.78,Office Chair,Furniture,18.03,44.42,Rahul Reddy,South,Individual,59.41,44.42,2022,1,Jan,2022-01
ORD03786,2022-01-03,C0051,P004,5,0.0,Retail,381.9,163.25,218.65,Headphones,Electronics,32.65,76.38,Ananya Das,Central,Individual,57.25,76.38,2022,1,Jan,2022-01
ORD00386,2022-01-03,C0011,P009,1,0.05,Online,235.85,128.65,107.2,Sofa,Furniture,128.65,248.26,Nisha Sharma,North,Enterprise,45.45,235.85,2022,1,Jan,2022-01
ORD02114,2022-01-04,C0251,P012,2,0.15,Wholesale,366.54,247.88,118.66,Sneakers,Clothing,123.94,215.61,Meera Nair,East,SMB,32.37,183.27,2022,1,Jan,2022-01
ORD03887,2022-01-04,C0212,P013,1,0.15,Retail,358.05,187.87,170.18,T-Shirt,Clothing,187.87,421.24,Rahul Reddy,South,Individual,47.53,358.05,2022,1,Jan,2022-01
ORD04590,2022-01-04,C0475,P017,2,0.0,Wholesale,172.52,70.74,101.78,Energy Drink,Food & Bev,35.37,86.26,Pooja Das,West,Individual,59.0,86.26,2022,1,Jan,2022-01
ORD00225,2022-01-04,C0337,P001,2,0.0,Retail,761.88,312.14,449.74,Laptop,Electronics,156.07,380.94,Pooja Patel,North,Individual,59.03,380.94,2022,1,Jan,2022-01
ORD04002,2022-01-05,C0181,P020,3,0.0,Online,1518.39,830.55,687.84,Juice,Food & Bev,276.85,506.13,Nisha Kumar,Central,SMB,45.3,506.13000000000005,2022,1,Jan,2022-01
ORD04324,2022-01-05,C0261,P014,3,0.1,Online,454.82,263.61,191.21,Jeans,Clothing,87.87,168.45,Sneha Rao,North,SMB,42.04,151.60666666666665,2022,1,Jan,2022-01
ORD01884,2022-01-05,C0128,P007,1,0.05,Direct Sales,494.3,334.65,159.65,Standing Desk,Furniture,334.65,520.32,Arjun Mehta,North,SMB,32.3,494.3,2022,1,Jan,2022-01
ORD03957,2022-01-06,C0231,P009,2,0.05,Wholesale,471.69,257.3,214.39,Sofa,Furniture,128.65,248.26,Vikram Kumar,West,Individual,45.45,235.845,2022,1,Jan,2022-01
ORD01170,2022-01-06,C0461,P016,3,0.0,Direct Sales,1114.65,740.82,373.83,Coffee Beans,Food & Bev,246.94,371.55,Vikram Sharma,East,Enterprise,33.54,371.55,2022,1,Jan,2022-01
ORD01773,2022-01-06,C0281,P009,5,0.1,Online,1117.17,643.25,473.92,Sofa,Furniture,128.65,248.26,Nisha Mehta,West,Enterprise,42.42,223.43400000000003,2022,1,Jan,2022-01
ORD03454,2022-01-06,C0463,P019,2,0.1,Wholesale,328.57,257.6,70.97,Tea Pack,Food & Bev,128.8,182.54,Karan Das,Central,Individual,21.6,164.285,2022,1,Jan,2022-01
ORD02024,2022-01-06,C0497,P016,5,0.2,Wholesale,1486.2,1234.7,251.5,Coffee Beans,Food & Bev,246.94,371.55,Siddharth Malhotra,East,SMB,16.92,297.24,2022,1,Jan,2022-01
ORD00944,2022-01-06,C0365,P012,4,0.0,Wholesale,862.44,495.76,366.68,Sneakers,Clothing,123.94,215.61,Anjali Kumar,North,Individual,42.52,215.61,2022,1,Jan,2022-01
ORD03241,2022-01-07,C0021,P010,2,0.0,Direct Sales,588.74,356.92,231.82,Lamp,Furniture,178.46,294.37,Siddharth Chopra,East,SMB,39.38,294.37,2022,1,Jan,2022-01
ORD04564,2022-01-07,C0457,P009,1,0.1,Online,223.43,128.65,94.78,Sofa,Furniture,128.65,248.26,Meera Reddy,Central,SMB,42.42,223.43,2022,1,Jan,2022-01
ORD04562,2022-01-07,C0435,P013,1,0.0,Online,421.24,187.87,233.37,T-Shirt,Clothing,187.87,421.24,Riya Kumar,West,Individual,55.4,421.24,2022,1,Jan,2022-01
ORD03754,2022-01-07,C0029,P013,2,0.0,Direct Sales,842.48,375.74,466.74,T-Shirt,Clothing,187.87,421.24,Arjun Iyer,South,Individual,55.4,421.24,2022,1,Jan,2022-01
ORD01637,2022-01-08,C0014,P019,3,0.0,Wholesale,547.62,386.4,161.22,Tea Pack,Food & Bev,128.8,182.54,Arjun Malhotra,Central,Individual,29.44,182.54,2022,1,Jan,2022-01
ORD03955,2022-01-08,C0219,P001,3,0.0,Direct Sales,1142.82,468.21,674.61,Laptop,Electronics,156.07,380.94,Siddharth Sharma,East,SMB,59.03,380.94,2022,1,Jan,2022-01
ORD04313,2022-01-08,C0442,P005,3,0.05,Retail,1497.53,733.29,764.24,Smartwatch,Electronics,244.43,525.45,Nisha Kumar,West,Enterprise,51.03,499.1766666666667,2022,1,Jan,2022-01
ORD03181,2022-01-09,C0229,P008,1,0.05,Retail,116.84,80.91,35.93,Bookshelf,Furniture,80.91,122.99,Anjali Malhotra,West,Enterprise,30.75,116.84,2022,1,Jan,2022-01
ORD03477,2022-01-09,C0413,P013,3,0.0,Online,1263.72,563.61,700.11,T-Shirt,Clothing,187.87,421.24,Aarav Malhotra,Central,Enterprise,55.4,421.24,2022,1,Jan,2022-01
ORD01447,2022-01-09,C0042,P014,3,0.0,Wholesale,505.35,263.61,241.74,Jeans,Clothing,87.87,168.45,Karan Reddy,North,Individual,47.84,168.45000000000002,2022,1,Jan,2022-01
ORD03554,2022-01-09,C0063,P012,4,0.0,Online,862.44,495.76,366.68,Sneakers,Clothing,123.94,215.61,Anjali Joshi,South,Individual,42.52,215.61,2022,1,Jan,2022-01
ORD00870,2022-01-10,C0197,P016,4,0.1,Online,1337.58,987.76,349.82,Coffee Beans,Food & Bev,246.94,371.55,Riya Iyer,South,Individual,26.15,334.395,2022,1,Jan,2022-01
ORD04223,2022-01-10,C0092,P017,1,0.05,Retail,81.95,35.37,46.58,Energy Drink,Food & Bev,35.37,86.26,Vikram Das,West,Individual,56.84,81.95,2022,1,Jan,2022-01
ORD03356,2022-01-10,C0427,P002,1,0.05,Retail,566.57,295.48,271.09,Smartphone,Electronics,295.48,596.39,Karan Patel,North,SMB,47.85,566.57,2022,1,Jan,2022-01
ORD03144,2022-01-10,C0066,P017,4,0.0,Online,345.04,141.48,203.56,Energy Drink,Food & Bev,35.37,86.26,Dev Chopra,South,Enterprise,59.0,86.26,2022,1,Jan,2022-01
ORD00075,2022-01-11,C0033,P015,1,0.15,Online,277.77,241.04,36.73,Hoodie,Clothing,241.04,326.79,Ananya Verma,West,SMB,13.22,277.77,2022,1,Jan,2022-01
ORD04185,2022-01-11,C0379,P004,1,0.15,Online,64.92,32.65,32.27,Headphones,Electronics,32.65,76.38,Meera Chopra,East,Individual,49.71,64.92,2022,1,Jan,2022-01
ORD01291,2022-01-11,C0132,P010,1,0.0,Retail,294.37,178.46,115.91,Lamp,Furniture,178.46,294.37,Dev Joshi,North,Individual,39.38,294.37,2022,1,Jan,2022-01
ORD04601,2022-01-11,C0087,P010,1,0.0,Direct Sales,294.37,178.46,115.91,Lamp,Furniture,178.46,294.37,Vikram Mehta,North,Enterprise,39.38,294.37,2022,1,Jan,2022-01
ORD04357,2022-01-11,C0298,P020,1,0.15,Online,430.21,276.85,153.36,Juice,Food & Bev,276.85,506.13,Karan Das,Central,SMB,35.65,430.21,2022,1,Jan,2022-01
ORD00027,2022-01-11,C0400,P006,2,0.0,Online,88.84,36.06,52.78,Office Chair,Furniture,18.03,44.42,Ananya Iyer,Central,Enterprise,59.41,44.42,2022,1,Jan,2022-01
ORD04468,2022-01-12,C0299,P004,1,0.0,Retail,76.38,32.65,43.73,Headphones,Electronics,32.65,76.38,Dev Patel,South,Enterprise,57.25,76.38,2022,1,Jan,2022-01
ORD02236,2022-01-12,C0056,P007,2,0.0,Direct Sales,1040.64,669.3,371.34,Standing Desk,Furniture,334.65,520.32,Rahul Chopra,North,Individual,35.68,520.32,2022,1,Jan,2022-01
ORD02816,2022-01-12,C0418,P005,1,0.0,Retail,525.45,244.43,281.02,Smartwatch,Electronics,244.43,525.45,Priya Joshi,East,Individual,53.48,525.45,2022,1,Jan,2022-01
ORD03138,2022-01-13,C0013,P001,5,0.1,Online,1714.23,780.35,933.88,Laptop,Electronics,156.07,380.94,Aarav Iyer,North,SMB,54.48,342.846,2022,1,Jan,2022-01
ORD04543,2022-01-13,C0424,P014,4,0.05,Wholesale,640.11,351.48,288.63,Jeans,Clothing,87.87,168.45,Karan Reddy,North,Individual,45.09,160.0275,2022,1,Jan,2022-01
ORD04603,2022-01-13,C0399,P004,1,0.0,Online,76.38,32.65,43.73,Headphones,Electronics,32.65,76.38,Arjun Verma,South,Individual,57.25,76.38,2022,1,Jan,2022-01
ORD03985,2022-01-14,C0154,P012,1,0.15,Online,183.27,123.94,59.33,Sneakers,Clothing,123.94,215.61,Ananya Iyer,West,SMB,32.37,183.27,2022,1,Jan,2022-01
ORD00237,2022-01-14,C0194,P004,1,0.1,Retail,68.74,32.65,36.09,Headphones,Electronics,32.65,76.38,Aarav Gupta,North,SMB,52.5,68.74,2022,1,Jan,2022-01
ORD01358,2022-01-15,C0292,P003,5,0.1,Online,474.16,354.25,119.91,Tablet,Electronics,70.85,105.37,Anjali Chopra,East,SMB,25.29,94.83200000000001,2022,1,Jan,2022-01
ORD03005,2022-01-15,C0397,P002,3,0.2,Online,1431.34,886.44,544.9,Smartphone,Electronics,295.48,596.39,Rahul Iyer,South,Individual,38.07,477.1133333333333,2022,1,Jan,2022-01
ORD04087,2022-01-15,C0171,P006,5,0.0,Retail,222.1,90.15,131.95,Office Chair,Furniture,18.03,44.42,Karan Patel,Central,Individual,59.41,44.42,2022,1,Jan,2022-01
ORD03767,2022-01-16,C0259,P017,4,0.0,Retail,345.04,141.48,203.56,Energy Drink,Food & Bev,35.37,86.26,Siddharth Joshi,East,Individual,59.0,86.26,2022,1,Jan,2022-01
ORD00791,2022-01-16,C0216,P008,3,0.05,Direct Sales,350.52,242.73,107.79,Bookshelf,Furniture,80.91,122.99,Siddharth Iyer,East,SMB,30.75,116.83999999999999,2022,1,Jan,2022-01
ORD04075,2022-01-16,C0387,P007,3,0.0,Wholesale,1560.96,1003.95,557.01,Standing Desk,Furniture,334.65,520.32,Sneha Iyer,North,Individual,35.68,520.32,2022,1,Jan,2022-01
ORD03934,2022-01-17,C0325,P004,2,0.0,Online,152.76,65.3,87.46,Headphones,Electronics,32.65,76.38,Dev Nair,North,Individual,57.25,76.38,2022,1,Jan,2022-01
ORD03936,2022-01-17,C0329,P009,3,0.1,Online,670.3,385.95,284.35,Sofa,Furniture,128.65,248.26,Rohan Bose,East,Individual,42.42,223.4333333333333,2022,1,Jan,2022-01
